Indicators,Year,Age_Group,Gender,Value
Age dependency ratio (% of working-age population),2000,Total,Total,49.7157016
"Age dependency ratio, old (% of working-age population)",2000,Total,Total,9.290487845
"Age dependency ratio, young (% of working-age population)",2000,Total,Total,40.42521375
"Birth rate, crude (per 1,000 people)",2000,Total,Total,18.402
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2000,Reproductive Age,Total,11.17984096
"Cause of death, by non-communicable diseases (% of total)",2000,Total,Total,74.36298531
Current health expenditure (% of GDP),2000,Total,Total,4.10818672
"Death rate, crude (per 1,000 people)",2000,Total,Total,6.633
"Fertility rate, total (births per woman)",2000,Total,Total,2.213
"Hospital beds (per 1,000 people)",2000,Total,Total,3.04
"Incidence of HIV, all (per 1,000 uninfected population)",2000,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2000,Total,Total,47.33
"Incidence of tuberculosis (per 100,000 people)",2000,Total,Total,66
"Life expectancy at birth, female (years)",2000,Total,Female,76.292
"Life expectancy at birth, male (years)",2000,Total,Male,66.774
"Life expectancy at birth, total (years)",2000,Total,Total,71.179
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2000,Reproductive Age,Total,39
"Mortality rate, adult, female (per 1,000 female adults)",2000,Adult,Female,91.015
"Mortality rate, adult, male (per 1,000 male adults)",2000,Adult,Male,245.601
"Mortality rate, infant (per 1,000 live births)",2000,0-1,Total,13
"Mortality rate, infant, female (per 1,000 live births)",2000,0-1,Female,11.8
"Mortality rate, infant, male (per 1,000 live births)",2000,0-1,Male,14.2
Number of maternal deaths,2000,Reproductive Age,Total,140
"Nurses and midwives (per 1,000 people)",2000,Total,Total,1.192
"Physicians (per 1,000 people)",2000,Total,Total,0.424
Population ages 0-14 (% of total population),2000,Total,Total,27.00131682
Population ages 15-64 (% of total population),2000,Total,Total,66.79326318
Population ages 65 and above (% of total population),2000,Total,Total,6.205419997
"Population, female",2000,Total,Female,9696396
"Population, female (% of total population)",2000,Total,Female,50.25848163
"Population, male",2000,Total,Male,9596658
"Population, male (% of total population)",2000,Total,Male,49.74151837
"Population, total",2000,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2000,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2000,15-24,Male,0.1
Sex ratio at birth (male births per female births),2000,Total,Female,1.046
"Suicide mortality rate (per 100,000 population)",2000,Total,Total,38.9
"Suicide mortality rate, female (per 100,000 female population)",2000,Total,Female,15.05
"Suicide mortality rate, male (per 100,000 male population)",2000,Total,Male,63
"Survival to age 65, female (% of cohort)",2000,Total,Female,84.749058
"Survival to age 65, male (% of cohort)",2000,Total,Male,64.882091
Age dependency ratio (% of working-age population),2001,Total,Total,49.01985143
"Age dependency ratio, old (% of working-age population)",2001,Total,Total,9.341904756
"Age dependency ratio, young (% of working-age population)",2001,Total,Total,39.67794668
"Birth rate, crude (per 1,000 people)",2001,Total,Total,18.95
Current health expenditure (% of GDP),2001,Total,Total,4.05662823
"Death rate, crude (per 1,000 people)",2001,Total,Total,6.482
"Fertility rate, total (births per woman)",2001,Total,Total,2.283
"Hospital beds (per 1,000 people)",2001,Total,Total,3.13
"Incidence of HIV, all (per 1,000 uninfected population)",2001,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2001,Total,Total,14.76
"Incidence of tuberculosis (per 100,000 people)",2001,Total,Total,66
"Life expectancy at birth, female (years)",2001,Total,Female,76.481
"Life expectancy at birth, male (years)",2001,Total,Male,67.71
"Life expectancy at birth, total (years)",2001,Total,Total,71.804
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2001,Reproductive Age,Total,37
"Mortality rate, adult, female (per 1,000 female adults)",2001,Adult,Female,88.73
"Mortality rate, adult, male (per 1,000 male adults)",2001,Adult,Male,227.599
"Mortality rate, infant (per 1,000 live births)",2001,0-1,Total,12.7
"Mortality rate, infant, female (per 1,000 live births)",2001,0-1,Female,11.4
"Mortality rate, infant, male (per 1,000 live births)",2001,0-1,Male,13.9
Number of maternal deaths,2001,Reproductive Age,Total,140
"Nurses and midwives (per 1,000 people)",2001,Total,Total,0.835
"Physicians (per 1,000 people)",2001,Total,Total,0.443
Population ages 0-14 (% of total population),2001,Total,Total,26.62594888
Population ages 15-64 (% of total population),2001,Total,Total,67.10515175
Population ages 65 and above (% of total population),2001,Total,Total,6.268899363
"Population, female",2001,Total,Female,9863354
"Population, female (% of total population)",2001,Total,Female,50.32230527
"Population, male",2001,Total,Male,9737008
"Population, male (% of total population)",2001,Total,Male,49.67769473
"Population, total",2001,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2001,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2001,15-24,Male,0.1
Sex ratio at birth (male births per female births),2001,Total,Female,1.046
"Suicide mortality rate (per 100,000 population)",2001,Total,Total,33.76
"Suicide mortality rate, female (per 100,000 female population)",2001,Total,Female,12.53
"Suicide mortality rate, male (per 100,000 male population)",2001,Total,Male,55.26
"Survival to age 65, female (% of cohort)",2001,Total,Female,85.074224
"Survival to age 65, male (% of cohort)",2001,Total,Male,66.741322
Age dependency ratio (% of working-age population),2002,Total,Total,48.54481848
"Age dependency ratio, old (% of working-age population)",2002,Total,Total,9.434094577
"Age dependency ratio, young (% of working-age population)",2002,Total,Total,39.11072391
"Birth rate, crude (per 1,000 people)",2002,Total,Total,19.172
Current health expenditure (% of GDP),2002,Total,Total,4.03715754
"Death rate, crude (per 1,000 people)",2002,Total,Total,6.406
"Fertility rate, total (births per woman)",2002,Total,Total,2.31
"Hospital beds (per 1,000 people)",2002,Total,Total,3
"Incidence of HIV, all (per 1,000 uninfected population)",2002,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2002,Total,Total,9.09
"Incidence of tuberculosis (per 100,000 people)",2002,Total,Total,66
"Life expectancy at birth, female (years)",2002,Total,Female,76.734
"Life expectancy at birth, male (years)",2002,Total,Male,68.314
"Life expectancy at birth, total (years)",2002,Total,Total,72.271
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2002,Reproductive Age,Total,36
"Mortality rate, adult, female (per 1,000 female adults)",2002,Adult,Female,86.295
"Mortality rate, adult, male (per 1,000 male adults)",2002,Adult,Male,217.328
"Mortality rate, infant (per 1,000 live births)",2002,0-1,Total,12.4
"Mortality rate, infant, female (per 1,000 live births)",2002,0-1,Female,11.1
